ReqURL,Do_Time,Duration,Res_Code
http://www.intellilink.co.jp,20190718062043,68178322,200 OK
http://www.intellilink.co.jp,20190718063043,77202930,200 OK
http://www.intellilink.co.jp,20190718064043,131954581,200 OK
http://www.intellilink.co.jp,20190718065043,123111006,200 OK
http://www.intellilink.co.jp,20190718070043,78653278,200 OK
http://www.intellilink.co.jp,20190718071042,95171339,200 OK
http://www.intellilink.co.jp,20190718072043,130393685,200 OK
http://www.intellilink.co.jp,20190718073042,85467482,200 OK
http://www.intellilink.co.jp,20190718074043,67676655,200 OK
http://www.intellilink.co.jp,20190718075043,99723783,200 OK
http://www.intellilink.co.jp,20190718080043,109435612,200 OK
http://www.intellilink.co.jp,20190718081043,153319619,200 OK
http://www.intellilink.co.jp,20190718082043,75574544,200 OK
http://www.intellilink.co.jp,20190718083043,89781115,200 OK
http://www.intellilink.co.jp,20190718084043,68546999,200 OK
http://www.intellilink.co.jp,20190718085043,109053645,200 OK
http://www.intellilink.co.jp,20190718090043,72435440,200 OK
http://www.intellilink.co.jp,20190718091043,58195910,200 OK
http://www.intellilink.co.jp,20190718092043,116537407,200 OK
http://www.intellilink.co.jp,20190718093043,69156941,200 OK
http://www.intellilink.co.jp,20190718094043,124823932,200 OK
http://www.intellilink.co.jp,20190718095043,101844211,200 OK
http://www.intellilink.co.jp,20190718100042,108696242,200 OK
http://www.intellilink.co.jp,20190718101042,97531515,200 OK
http://www.intellilink.co.jp,20190718102043,74020418,200 OK
http://www.intellilink.co.jp,20190718103042,69766417,200 OK
http://www.intellilink.co.jp,20190718104043,86984284,200 OK
http://www.intellilink.co.jp,20190718105043,70448518,200 OK
http://www.intellilink.co.jp,20190718110043,74581244,200 OK
http://www.intellilink.co.jp,20190718111043,86803923,200 OK
http://www.intellilink.co.jp,20190718112043,71201364,200 OK
http://www.intellilink.co.jp,20190718113042,74203583,200 OK
http://www.intellilink.co.jp,20190718114042,71770693,200 OK
http://www.intellilink.co.jp,20190718115043,103766036,200 OK
http://www.intellilink.co.jp,20190718120043,92407442,200 OK
http://www.intellilink.co.jp,20190718121043,90327845,200 OK
http://www.intellilink.co.jp,20190718122043,74239377,200 OK
http://www.intellilink.co.jp,20190718123043,71859077,200 OK
http://www.intellilink.co.jp,20190718124043,55361340,200 OK
http://www.intellilink.co.jp,20190718125043,75359860,200 OK
http://www.intellilink.co.jp,20190718130043,58728619,200 OK
http://www.intellilink.co.jp,20190718131042,80997010,200 OK
http://www.intellilink.co.jp,20190718132043,76595427,200 OK
http://www.intellilink.co.jp,20190718133043,78983538,200 OK
http://www.intellilink.co.jp,20190718134042,91761819,200 OK
http://www.intellilink.co.jp,20190718135043,60167271,200 OK
http://www.intellilink.co.jp,20190718140043,100681214,200 OK
http://www.intellilink.co.jp,20190718141043,70645553,200 OK
